"url","date","time","likes","tweets"
"http://www.eldiario.es/agendapublica/blog/democracia-Intervenida_6_67253279.html",2012-11-09,"10:40","25","46"
"http://www.eldiario.es/agendapublica/blog/democracia-fuerte-contrademocracia_6_67253277.html",2012-11-09,"08:52","53","40"
"http://www.eldiario.es/agendapublica/blog/imposible-reforma-laboral-trabajadora-hijos_6_66203386.html",2012-11-08,"09:58","0","348"
"http://www.eldiario.es/agendapublica/blog/Primero-casa_6_66203385.html",2012-11-07,"09:37","412","106"
"http://www.eldiario.es/agendapublica/blog/Peligrosa-desligitimacion-impuestos_6_65853442.html",2012-11-06,"09:13","58","46"
"http://www.eldiario.es/agendapublica/blog/Editorial-Primarias-PSOE-solo_6_65503457.html",2012-11-04,"21:30","142","82"
"http://www.eldiario.es/agendapublica/blog/Lecturas-Agenda-Publica-politico_6_64803521.html",2012-11-02,"09:42","64","80"
"http://www.eldiario.es/agendapublica/blog/Redistribucion-Predistribucion-Parte-II_6_64103592.html",2012-10-31,"09:10","25","33"
"http://www.eldiario.es/agendapublica/blog/investigacion-futuro_6_63403671.html",2012-10-30,"09:15","697","298"
"http://www.eldiario.es/agendapublica/blog/izquierda-oposicion-ciudadana-debate-abierto_6_63403661.html",2012-10-29,"10:06","56","78"
"http://www.eldiario.es/agendapublica/blog/Lecturas-Agenda-Publica-crisis-socialdemocracia_6_62353767.html",2012-10-26,"09:18","9","9"
"http://www.eldiario.es/agendapublica/blog/Not-different-not-good_6_61653850.html",2012-10-25,"15:46","6","9"
"http://www.eldiario.es/agendapublica/blog/doctrina-Bartlet_6_61653849.html",2012-10-25,"09:25","65","17"
"http://www.eldiario.es/agendapublica/blog/Gobierno-ley_6_60953928.html",2012-10-24,"09:21","144","139"
"http://www.eldiario.es/agendapublica/blog/Redistribucion-Predistribucion-Parte_6_60953927.html",2012-10-23,"09:13","59","112"
"http://www.eldiario.es/agendapublica/blog/Editorial-oposicion-interna-ciudadana_6_60953912.html",2012-10-22,"10:53","93","153"
"http://www.eldiario.es/agendapublica/blog/Lecturas-Agenda-Publica-rescates-financieros_6_59554046.html",2012-10-19,"09:35","97","43"
"http://www.eldiario.es/agendapublica/blog/Elecciones-vascas-creen-Blancanieves_6_59204082.html",2012-10-18,"11:00","7","12"
